addAplyQlfcCndCn,aplyPrdSeCd,aplyUrlAddr,aplyYmd,bizPrdBgngYmd,bizPrdEndYmd,bizPrdEtcCn,bizPrdSeCd,bscPlanAsmtNo,bscPlanCycl,bscPlanFcsAsmtNo,bscPlanPlcyWayNo,earnCndSeCd,earnEtcCn,earnMaxAmt,earnMinAmt,etcMttrCn,frstRegDt,inqCnt,jobCd,lastMdfcnDt,lclsfNm,mclsfNm,mrgSttsCd,operInstCd,operInstCdNm,operInstPicNm,plcyAplyMthdCn,plcyAprvSttsCd,plcyExplnCn,plcyKywdNm,plcyMajorCd,plcyNm,plcyNo,plcyPvsnMthdCd,plcySprtCn,ptcpPrpTrgtCn,pvsnInstGroupCd,refUrlAddr1,refUrlAddr2,rgtrHghrkInstCd,rgtrHghrkInstCdNm,rgtrInstCd,rgtrInstCdNm,rgtrUpInstCd,rgtrUpInstCdNm,sbizCd,sbmsnDcmntCn,schoolCd,sprtArvlSeqYn,sprtSclCnt,sprtSclLmtYn,sprtTrgtAgeLmtYn,sprtTrgtMaxAge,sprtTrgtMinAge,sprvsnInstCd,sprvsnInstCdNm,sprvsnInstPicNm,srngMthdCn,zipCd
,0057003,https://www.ggdorm.or.kr,,20250101,20251231,,0056001,015,1,007,002,0043003,소득점수 : 국민건강보험료 납부합산액 평가,0,0,,2025-07-29 15:56:27,1305,0013010,2026-01-01 00:00:00,주거,주택 및 거주지,0055003,       ,,경기도기숙사,ㅇ 신청방법 : 누리집(홈페이지) https://www.ggdorm.or.kr  → 회원가입(본인인증) →    입사/퇴사안내 → 입사신청에서 입사지원,0044002,경기도 대학생 및 청년을 대상으로 안전하고 쾌적한 공공 기숙환경을 제공하여 주거비 부담경감과 지역의 인재육성,주거지원,0011009,경기도 공공기숙사 운영,20250729005400211503,0042006,"ㅇ 사업대상 : 경기도 대학생 및 청년
ㅇ 사업내용 : 기숙사 운영·관리, 입사생 생활지원, 급식실 운영 등
ㅇ 지원자격 
 - 입사선발 서류접수일 기준 1년이상 계혹하여 경기도에 주민등록이 되어 있는 대학생 및 청년
 - 기준일 현재 도에 주민등록이 되어 있고, 기준일 이전에 도에 주민등록이 되어 있던 기간의 합산이 10년 이상인 대학생 또는 청년
ㅇ 선발기준 
 - 대학생 : 소득(100)+가산점(차상위계층, 국가유공자, 북한이탈주민, 장애인, 다자녀가정 등)
 - 청  년 : 소득(30)+면접(40)+독립계획서(20)
ㅇ 선발절차 : (매년 12월~1월) 공고→온라인접수→서류심사→청년면접(심사위원)→선정→입사
ㅇ 입사비 : 1인실(장애인 5실) 월 25만원, 3인실 월 20만원 * 보증금 월 입사비와 동일","ㅇ 퇴학 및 정학 처분을 받은 자
ㅇ 휴학한 자(단, 군복무 마친 후 복학 예정자 제외
ㅇ 법정 전염병 등 기타 사유로 공동생활에 부적합한 것으로 판단되는 자
ㅇ 신분전환 및 본인이 희망하여 퇴사하거나 계속 거주하지 아니한 자",0054002,,,6410000,경기도,6412843,경기도 미래평생교육국 청년기회과,6412831,경기도 미래평생교육국,0014010,"[대학생·청년 공통]
· 입사지원서 (온라인 입력)
· 개인정보 수집·이용 동의서 (온라인 입력)
· 본인의 주민등록초본 (주소이력 포함)
· 보호자 명의의 가족관계증명서 (가족관계 전부 기록)
· 제출서류 체크리스트 (지정양식)
[대학생 공통]
· 재학생-재학증명서
 신입생-합격통지서 또는 대학지원 수험표
 복학생-복학증빙서류
· 본인 또는 가족의 학자금 지원구간 통지서
  (모집기간 해당 학기 분이 없는 경우 직전학기 통지서 가능)
  ※ 미제출 시 ‘10구간’ 적용
[대학생 우선선발대상]
· 국민기초생활보장 수급자 증명서(부·모 또는 본인)
· 가정위탁보호 확인서(본인)
· 공동생활가정 보호 사실증명서(본인)
· 인구감소지역(가평군, 연천군) 거주 확인서
[대학생 가점대상]
· 차상위계층 증명서(부모 또는 본인)
 (의료, 주거, 교육, 한부모 포함)
· 국가유공자(유족, 가족) 확인서
· 북한이탈주민등록 확인서
· 장애인증명서
· 다자녀가정 증빙 서류
· 다문화가정 증빙 서류
[청년]
· 독립계획서
· 본인의 건강보험 납부확인서 및 자격득실 확인서 
  (미취업자인 경우 부,모의 건강보험 납부확인서 및 본인과 부,모의 자격득실 확인서 제출)

",0049010,N,278,N,N,39,15,6412843,청년기회과,윤석선,ㅇ 누리집(홈페이지)  https://www.ggdorm.or.kr  공지 확인,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057003,,,        ,        ,2025년 상시,0056002,034,1,014,004,0043001,,0,0,,2025-07-29 11:50:49,496,0013010,2026-01-01 00:00:00,복지문화,취약계층 및 금융지원,0055003,       ,,이준희,보호대상아동 보호종료 시 사후관리 후 대상자 선정,0044002,매월 40만원 한도 내에서 자립준비청년 맞춤형 사례관리 제공,보조금,0011009,자립준비청년 자립지원 체계 구축,20250729005400111501,0042004,매월 40만원 한도 내에서 자립준비청년 맞춤형 사례관리 제공,,0054002,,,6540000,전북특별자치도,6540000,전북특별자치도,0000000,전북특별자치도,0014009,,0049010,N,121,N,N,30,18,6540000,전북특별자치도,김미옥,,"52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
"18세 이후 아동복지시설(양육시설, 보호치료시설*, 공동생활가정) 및 가정위탁 보호가 종료된 아동
 * 법원 보호위탁처분 등으로 인한 일시보호의 경우 지원 제외
보호 종료일 기준으로 1년 이상(보호기간 합산 가능) 연속하여 보호받은 아동
 ※ 단, 대학교 조기입학 등 예외적인 사유로  15세에 아동복지시설 혹은 가정위탁 보호가 종료되는 경우는 시군아동복지심의위원회 또는 사례결정위원회에서 심의 후 지급 가능 ",0057003,,,        ,        ,보호종료 30일 전부터 사전 신청 가능,0056002,034,1,014,004,0043001,,0,0,,2025-07-29 11:41:19,88,0013010,2026-01-01 00:00:00,복지문화,취약계층 및 금융지원,0055003,4671000,군산시,,신청인->시설->시군,0044002,아동생활시설 및 가정위탁 보호종료아동에게 보호종료 시 1천만원 자립정착금 지원,보조금,0011009,퇴소아동 자립정착금 ,20250729005400211500,0042006,"아동생활시설 및 가정위탁 보호종료아동에게 보호종료 시 1천만원 자립정착금 지원
자세한 사항은 시군 아동보호팀 문의 필요",,0054002,,,6540000,전북특별자치도,6540000,전북특별자치도,0000000,전북특별자치도,0014009,자립정착금 신청서 등,0049010,N,0,Y,N,28,15,6540000,전북특별자치도,김미옥,보호종료가 이루어진 당해연도 시설 등 관할 시군에서 지급 원칙,"52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
"1. 은평구에 주소를 둔 19세 ~ 39세(공고일 기준) 대한민국 국적보유 청년
2. 창업 교육 이수자  ※ 은평구청 홈페이지 공고문 참조
3. 개성 있는 창업 아이템을 보유한 자
4. 도전정신, 끈기, 열정을 가지고 성실히 전념할 수 있는 자
5. 신규사업자 등록에 결격 사유가 없는 자 ※ 점포 개소 후 1개월 이내 사업자등록증 사본 제출 ",0057001,https://www.ep.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=notAncmtSj&searchKrwd=%EC%A0%90%ED%8F%AC&key=754&notAncmtMgtNo=46597&notAncmtSeCode=01,20250724 ~ 20250806,        ,        ,"입점일(2025. 9. 1.)로부터 12개월, 연장심사를 통해 2년차 연장 지원 가능",0056002,005,1,002,001,0043001,,0,0,은평구청 홈페이지 공고문 확인,2025-07-29 11:05:31,582,0013010,2025-07-29 14:16:42,일자리,창업,0055003,3110276,돌봄복지국,,"제출서류 구비 후 이메일 또는 방문 접수
※ 자세한 사항은 은평구청 홈페이지 공고문 확인",0044002,청년 창업자의 도전을 장려하여 청년사업가를 육성하고 일자리 창출 및 지역경제 활성화를 위한 청년 창업점포 입점 청년 모집,보조금,0011009,청년 창업점포(청년식당) 신규 입점 청년 모집,20250729005400211499,0042001,"보증금(100%), 임차료(50%), 인테리어 비용 일부, 맞춤형 컨설팅 등","1. 창업 교육 미이수자
2. 신용불량 등 금융 거래에 제한이 있는 자
3. 사업신청서 및 제출서류를 허위로 기재한 자
4. 동일 또는 유사 지원사업의 사업 기간 내 중복지원 수혜자
5. 기타 제외하는 것이 합당하다고 공통적으로 판단되는 자",0054002,,,6110000,서울특별시,3110000,서울특별시 은평구,6110000,서울특별시,0014010,은평구청 홈페이지 공고문 확인,0049010,N,2,N,N,39,19,3110000,은평구,강민기,"□ 사전신청 : 2025. 8. 6.(수) 18:00까지
□ 창업교육 : 2025. 8. 8.(금) 예정 ※ 내부사정에 따라 변동가능
□ 최종신청 : 2025. 8. 13(수) 18:00까지
□ 서류심사 : 2025. 8. 14.(목) ~ 8. 18.(월)
□ 면접심사 : 2025. 8. 19.(화)
□ 최종발표 : 심사 종료 후 3일 이내 구청 홈페이지 공고게재",11380
18세 이후 보호가 종료된 자립준비청년 및 15세 이후 조기보호종료된 자로 18세가 된 때로부터 5년 이내인 자,0057003,,,        ,        ,연중 상시,0056002,034,1,014,004,0043001,,0,0,,2025-07-28 19:40:20,239,0013010,2026-01-01 00:00:00,복지문화,취약계층 및 금융지원,0055003,       ,,,,0044002,아동복지시설 및 가정위탁 보호 종료된 자립준비청년들에게 최소한의 자립비용을 지원함으로써 자립준비청년의 건전한 홀로서기 지원,청년가장,0011009,자립준비청년 자립지원정착금 지원,20250728005400211498,0042006,"1인당 1,500만원(1차 1,000만원 /2차 500만원 분할 지급)
- 자립정착금은 보호 종료가 이루어진 당해 연도에 지급 원칙
 * 단, 부득이한 사유로 당해 연도에 지급이 안 된 경우 보호종료일로부터 5년 이내에 시설 등 관할 지자체에서 보호종료 당해연도 기준 금액으로 지급 가능",,0054002,,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,,0049010,N,0,Y,N,24,18,6410000,경기도,,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057003,https://jejuyouthdream.com/,,20250731,20251231,,0056001,050,1,019,005,0043001,,0,0,,2025-07-28 16:35:08,69,0013010,2026-01-01 00:00:00,참여권리,청년참여,0055003,       ,,,,0044002,제주청년들에게 4‧3의 가치를 공유하고 공론의 장을 만드는 기회 마련,교육지원,0011009,청년 4‧3 심포리즘 개최,20250728005400211496,0042013,제주청년 대상 4‧3현장 역사교육 연계한 심포지엄 개최 ,,0054002,,,6500000,제주특별자치도,6500610,제주특별자치도 특별자치행정국 4.3지원과,6500406,제주특별자치도 특별자치행정국,0014010,,0049010,N,0,N,N,39,19,6500610,4.3지원과,고승재,,"50110,50130"
"1. 문화예술교육사 자격증 취득자(필수)
2. 만 39세 이하 문화예술교육사 자격증 취득한 지 3년 이하인 자 우대 선발
",0057001,https://www.jbct.or.kr/,20250501 ~ 20250630,20250101,20251231,,0056001,041,1,016,004,0043001,,0,0,,2025-07-28 15:01:04,27,0013010,2025-07-28 15:19:21,복지문화,예술인지원,0055003,B555117,재단법인전북특별자치도문화관광재단,김도연,"1. 문화시설 공모 - 심의 - 선정
2. 문화시설 자체 문화예술교육사 채용(각 홈페이지 및 취업사이트 공고를 통한 신청)",0044002,"지역의 다양한 문화기반시설을 활용한 문화예술교육사의 실무경험을 통해 문화예술교육사의 역량을 강화시키고, 문화시설 대상 문화예술교육사 활용도 및 자격에 대한 인식을 높이고자 추진하는 사업입니다.",교육지원,0011008,문화예술교육사 현장역량강화사업,20250728005400211495,0042006,"- 문화시설 6개소 선정 지원, 문화예술교육사 6인 채용
- 교육프로그램 기획‧운영을 위한 인건비, 교육 프로그램 개발 및 운영비 등 지원","1. 문화예술교육사 현장역량강화 사업(前 문화예술교육사 인턴십 지원사업)에 2년이상(2회까지 가능) 참여한 문화예술교육사의 경우 선발(채용) 제한  
2. 타 인턴지원 사업에 참여중인 자 또는 병역법에 의한 특례근무 중인 자
3. 타 기관이나 신청시설에서 근무하고 있는 자
4. 선정문화시설의 사업주와 직계비속, 형제·자매 등 특수 관계가 있는 자
",0054002,https://www.jbct.or.kr/bizNotice_infoView.php?id=2009,,B000000,정부산하기관및위원회,B555117,재단법인전북특별자치도문화관광재단,B000000,정부산하기관및위원회,0014009,"1. 문화시설 서류 : 지원신청서, 사업자등록증 등 재단 홈페이지 공고 상 요구하는 서류
2. 문화예술교육사(청년) 서류 : 각 문화시설에서 요구하는 서류 ",0049010,N,6,N,Y,0,0,6540033,문화체육관광국,박화선,"1. 문화시설 공개모집 공고(3~4월)
2. 문화시설 선정 심의(4월)
3. 문화시설 결과 발표(4~5월)
4. 문화시설 -> 교육사 채용(5~6월)
","52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
,0057003,,,20250101,20251231,,0056001,001,1,001,001,0043001,,0,0,,2025-07-25 16:17:19,662,0013003,2025-07-25 17:48:21,일자리,취업,0055003,       ,,,"사업종료 예정으로, 신규모집 미시행",0044002,"지역 일자리를 발굴하여 3대 유형별 직접 일자리 제공 및 인건비, 창업 사업비, 교육 등 지원",장기미취업청년,0011009,지역주도형 청년일자리 사업,20250725005400211494,0042006,"○ 지역혁신형(1유형) : 미래신산업, 주력산업 분야 기업에서 만39세 이하 청년 신규채용 시 최대 2년간 인건비 월160만원 지원(기업 부담 20% 별도)
○ 상생기반대응형(2유형) : 만39세 이하 청년 지역 창업 시 창업비용 연1,500만원 지원(1~2년) 및 창업비 지원 종료 후 청년직원 신규채용 시 최대 1년간 인건비 월160만원 지원(창업자 부담 20% 별도)
○ 지역정착지원형(기존1유형) : 지역 중소기업 등 만39세 이하 청년 신규채용 시 최대 2년간 인건비 월160만원 지원(기업 부담 20% 별도)
○ 1유형, 기존1유형 : 인건비 지원 종료 후 3개월 이상 정규직 근무 유지, 지역에 정착한 청년에게 1년간 분기별 인센티브 250만원 지원
○ 공통 : 역량강화교육 제공, 자기계발비 등 지원",,0054002,,,6270000,대구광역시,6270000,대구광역시,0000000,대구광역시,0014010,,0049010,N,116,N,N,39,18,6270000,대구광역시,김지혜,,"27110,27140,27170,27200,27230,27260,27290,27710,27720"
프로그램별 별도 접수(홈페이지 참조),0057003,https://www.dwfc.or.kr/,,20250201,20251231,,0056001,008,1,004,001,0043001,,0,0,,2025-07-25 14:22:47,503,0013010,2026-01-01 00:00:00,일자리,재직자,0055003,B554824,대구광역시행복진흥사회서비스원,현영숙,프로그램별 별도 접수(홈페이지 참조),0044002,청년 정착을 위한 워라밸 존중 기업문화 조성과 우수기업 취업 연계를 통한 삶의 질 향상 및 워라밸 문화 확산,"중소기업,맞춤형상담서비스",0011009,청년 정착 워라밸 기업문화 조성,20250725005400211493,0042002,"ㅇ 청년 유출 방지를 위한 구직난 해소 및 워라밸 우수기업 발굴
ㅇ 근무환경 개선을 위한 기업 문화공간 및 프로그램 지원
ㅇ 가족친화적 기업문화 조성을 통한 청년 삶의 질 향상 및 워라밸 문화 확산",프로그램별 별도 접수(홈페이지 참조),0054002,,,6270000,대구광역시,6271246,대구광역시 청년여성교육국,6270000,대구광역시,0014010,,0049010,N,0,Y,Y,0,0,6271246,청년여성교육국,곽재환,프로그램별 별도 접수(홈페이지 참조),"27110,27140,27170,27200,27230,27260,27290,27710,27720"
문화예술 분야 기획에 관심이 있으나 경험이 없는 입문자,0057001,,20250321 ~ 20250418,20250301,20251231,,0056001,043,1,016,004,0043001,,0,0,,2025-07-24 16:01:10,20,0013010,2025-07-25 17:49:00,복지문화,예술인지원,0055003,B554818,재단법인대구문화예술진흥원,,"○ 매년 대구문화예술진흥원 공식 홈페이지에서 '차세대 문화예술기획자 양성과정' 모집 공고를 통해 기초과정 교육생 모집 및 일정 등 공지
- 경우에 따라 변동 가능성 있음
- 심화과정의 경우, 기초과정 수료자 대상으로 진행
○ 모집 기간 내 대구문화예술진흥원 및 대구문화예술교육지원센터 홈페이지 공고 내 제출 양식 작성 후 이메일 제출",0044002,"문화예술 분야 기획을 희망하는 청년을 선발하여 양질의 교육 기회를 제공하고, 기획 전문 인력을 양성하여 대구 문화예술계 경쟁력을 강화하는 프로그램",교육지원,0011009,차세대 문화예술기획자 양성과정(2025년),20250724005400211492,0042002,"기초/심화 과정 2개 분야에 걸쳐 전문가 강의, 교육생 네트워킹, 선진지 답사 등 과정을 통해 문화예술기획 전문인력 양성","○ 대학교 재학생 지원 불가(휴학생 가능)
○ 심화과정 : 기초과정 수료자",0054002,https://dgfca.or.kr,,6270000,대구광역시,6270000,대구광역시,0000000,대구광역시,0014010,"○ 지원신청서 1부, 개인정보 제공 및 이용 동의서 1부
○ 관련 양식지 : 대구문화예술진흥원 공식 홈페이지 공지 참조",0049010,N,45,N,N,39,19,6270000,대구광역시,차유나,"○ 신청접수 후 서류 전형으로 적격자 선발 및 결과 통보
- 관심도 / 성실성 / 활동경험과 같은 지표 활용 심사
- 경우에 따라 변동 가능성 있음","27110,27140,27170,27200,27230,27260,27290,27710,27720"
"공고일 기준 대구광역시에 주소를 둔 만35세 이하 개인예술인(초, 중, 고, 대학생 제외)
※상단의 지원대상 최소나이는 정해지지 않음. 다만 초, 중, 고, 대학생을 제외한 대구광역시에 주소를 둔 만35세 이하 개인예술인을 대상으로 정함
 
공고문 상 분야별 자격기준에 부합하는 자
연극, 시각예술, 무용, 전통예술, 음악, 영화 분야의 예술가
과거 대구문화재단, 진흥원 신진(청년)예술가 지원사업 선정자 지원 불가
대학원생 지원가능",0057001,,20231211 ~ 20240105,20250301,20251231,,0056001,043,1,016,004,0043001,,0,0,,2025-07-24 15:48:27,45,0013010,2025-07-25 17:49:45,복지문화,예술인지원,0055003,B554818,재단법인대구문화예술진흥원,,※ 2024년 선정된 청년예술가 15명의 1년차 평가 결과에 따라 2년(2025년) 연속 지원 으로  2025년에는 공모가 진행되지 않음,0044002,"- 세계 속의 경쟁력 있는 차세대 예술인력의 발굴 · 육성을 위해 일회성 지원에서 벗어난 지속적인 재정 지원과 관심으로 청년 예술가의 창작욕 고취
- 청년예술가 양성으로 지역 예술계의 역동적 분위기 조성 및 예술 현장의 창작 저변 확대","교육지원,보조금",0011009,청년예술가 육성 지원,20250724005400211491,0042004,"    - 사업대상 : 대구에 주소지를 둔 만 35세 이하 청년 예술인
    - 지원기간 : 2025. 3. ~ 12. (매월 상금 분할 지급)
       ※ 2024년 선정된 청년예술가 15명의 1년차 평가 결과에 따라 2년(2025년) 연속 지원
       ※ 2025년에는 공모가 진행되지 않음
    - 재정지원 : 월별활동계획서를 바탕으로 창작지원금 매월 80만원 월 지원금 지급
    - 활동지원 : 멘토링, 역량 강화 교육, 발표 및 연습공간 지원, 활동 모니터링
    - 홍보지원 : 선정자 홍보자료집 제작‧배포 및 주요 활동 언론보도 ","공고일 기준 대구광역시에 주소를 둔 만35세 이하 개인예술인(초, 중, 고, 대학생 제외)
과거 대구문화재단, 진흥원 신진(청년)예술가 지원사업 선정자 지원 불가
",0054002,,,6270000,대구광역시,6270000,대구광역시,0000000,대구광역시,0014010,,0049010,N,15,N,N,35,19,6270501,문화체육관광국,이지은,,"27110,27140,27170,27200,27230,27260,27290,27710,27720"
,0057001,,20250723 ~ 20250806,20250101,20251231,,0056001,005,1,002,001,0043001,,0,0,,2025-07-24 13:49:31,85,0013008,2025-07-25 17:51:01,일자리,창업,0055003,       ,,,"1. 농지소재지 구군을 통한 공모 신청·접수
2. 대상자 선정
    - (평    가) 서류심사 → 발표심사
     ① 서류심사 : 기본요건, 사업계획서 ,구군검토의견서 및 증빙서류 적정성 등 담당부서 검토(필요 시 보완)
       ⇒ 검토결과 결격사유가 없는 신청자에 한해 면접 진행
     ② 발표평가 : 사업여건, 사업주체 역량, 사업계획의 적정성, 기대효과 등 종합적 평가",0044002,"영농에 정착한 청년농업인을 대상으로 농축산물의 생산, 가공, 유통, 체험·관광 기반 등을 지원하여 안정된 자립기반을 갖춘 차세대 영농리더 육성",보조금,0011009,청년농업인 맞춤 지원,20250724005400211490,0042006,"(생산기반) 신기술 도입, 생산비 및 노동력 절감 등에 필요한 시설‧장비 등
 (가공‧유통) 농산물 가공‧유통에 필요한 시설‧장비 및 가공품 개발 등
 (체험‧관광) 농산물 체험‧관광을 위한 시설‧장비 및 프로그램 개발 등
 (브랜드육성) 제품 및 브랜드 개발, 홈페이지 구축, 포장 디자인 등",,0054002,,,6270000,대구광역시,6270000,대구광역시,0000000,대구광역시,0014006,신청서 및 사업계획서 등,0049010,N,4,N,N,39,19,6270000,대구광역시,김은우,"발표평가 결과 평균점수 70점 이상인 자 중 고득점자 순으로 예산 범위 내 사업대상자 선정(70점 미만일 경우 선정제외)
","27110,27140,27170,27200,27230,27260,27290,27710,27720"
,0057001,https://www.rda.go.kr/young/index.do,20250205 ~ 20250305,20250101,20251231,,0056001,005,1,002,001,0043001,,0,0,,2025-07-24 13:40:22,456,"0013003,0013008",2025-07-25 17:50:11,일자리,창업,0055003,       ,,,똑똑 청년농부(https://www.rda.go.kr/young) 사이트를 통한 신청접수,0044002,"창업자금, 기술·경영 교육과 컨설팅, 농지은행 매입비축 농지 임대 및 농지 매매를 연계 지원하여 건실한 경영체로 성장을 유도
 * 특히 영농 초기 소득이 불안정한 청년후계농에게는 최장 3년간 월 최대 110만원의 영농정착 지원금(바우처) 지급","금리혜택,바우처",0011009,청년농업인 영농정착지원사업,20250724005400111489,0042010,"○특별시장·광역시장·특별자치시장·도지사·특별자치도지사가 청년농업인의 영농계획서를 평가하여 대상자로 확정한 자
  - 신청자격
   가. 연령 : 사업 시행연도 기준 만18세 이상 ～ 만40세 미만
   나. 영농경력 : 독립경영 3년 이하(독립경영 예정자 포함) 
   다. 병역 : 병역필 또는 병역면제자
   라. 거주지 : 사업 신청을 하는 시·군·광역시에 실제 거주(주민등록 포함)
○ 기간 : 선정일로부터 독립경영(영농)기간에 따라 차등
○ 지급규모 : 독립경영 1년차는 월 110만원, 2년차 월 100만원, 3년차 월 90만원 지급
○ 내용 
  (자금용도) 농가 경영비 및 일반 가계자금으로 사용 가능
  (지급방법) 농협 청년농업희망카드를 발급하여 바우처 방식으로 금액 지급
  (신청시기) 독립경영 1~3년차 선정자의 경우 선정 즉시 카드발급 및 지원금을 신청 해야하며, 예정자의 경우 독립경영 개시 이후 익월 카드발급 및 지원금 신청해야함
  (의무사항) 의무교육 이수, 위무영농기간 준수, 경영장부 작성 등 성실 경영
",,0054002,,,6270000,대구광역시,6270000,대구광역시,0000000,대구광역시,0014006,똑똑 청년농부(https://www.rda.go.kr/young) 사이트를 통한 공지 참조,0049010,N,50,N,N,39,18,1543000,농림축산식품부,박수연,○특별시장·광역시장·특별자치시장·도지사·특별자치도지사가 청년농업인의 영농계획서를 평가하여 대상자로 확정한 자,"27110,27140,27170,27200,27230,27260,27290,27710,27720"
,0057003,,,20250301,20260208,,0056001,022,1,009,003,0043001,,0,0,,2025-07-24 11:47:54,116,0013010,2026-01-01 00:00:00,일자리,취업,0055003,7000974,제주대학교,김선,,0044002,대학의 분절된 취업지원 기능 및 인프라를 통합.연계하는 전달체계를 구축하여 대학의 청년 특화 원스톱 고용서비스 지원 역량 강화 및 청년의 노동시장 진입을 지원,교육지원,0011009,25대학일자리플러스센터운영,20250724005400211488,0042002,"진로취업심리통합상담 지원, 취업지원프로그램 제공, 지역청년 프로그램 제공, 졸업생특화프로그램 제공 등",,0054002,,,6500000,제주특별자치도,6500000,제주특별자치도,0000000,제주특별자치도,0014010,,0049010,N,0,N,N,39,15,1492000,고용노동부,문미숙,,"50110,50130"
,0057001,,20250501 ~ 20251231,20250101,20251231,,0056001,001,1,001,001,0043001,,0,0,,2025-07-24 11:38:58,91,0013010,2025-07-25 17:46:24,일자리,취업,0055003,       ,,오지은,청년일경험 행정지원시스템 신청,0044002,"- 민간기관의 전문성을 활용하여 취업 취약계층에 대한 취업역량 강화 및 구직자의 재취업에 기여
",장기미취업청년,0011009,구직자 취업역량강화 프로그램 ,20250724005400111487,0042002,"- 집단상담프로그램 및 취업특강 프로그램 진행
 -집단상담프로그램 : 한국고용정보원에서 메뉴얼을 보급하여 고용센터에서 운영중인 프로그램으로 취업희망 프로그램, 청년층 직업지도 프로그램, 40대 구직자 취업역량강화 프로그램 등 
- 취업특강 프로그램: 한국고용정보원에서 메뉴얼들을 보급하여 고용센터에서 운영 중이거나 자체 기획 프로그램",,0054002,,,6500000,제주특별자치도,6500858,제주특별자치도 경제활력국 고용센터,6500853,제주특별자치도 경제활력국,0014010,,0049010,N,1305,N,N,34,15,1493724,고용서비스정책관,곽필순,https://yw.work24.go.kr:44380/xp/nxxp/index.do,"50110,50130"
,0057001,https://0simi.org,20250512 ~ 20250723,20250512,20251130,,0056001,041,1,016,004,0043001,,0,0,,2025-07-23 17:00:15,18,0013010,2025-07-23 17:20:42,복지문화,예술인지원,0055003,       ,,전주시민미디어센터,전주시민미디어센터 홈페이지 신청서 작성 후 이메일 접수,0044002,"지역 주민들에게 영화.영상 미디어 콘넨츠 제작 교육을 제공하고, 다양한 영화영상문화 활동에 대한 지원과 지역문화의 주체로 성장할 수 있는 기회 제공",교육지원,0011009,영화영상활성화 지원사업(주민시네마스쿨 운영),20250723005400211485,0042013,지역의 영화·영상 영역에 대한 맞춤형 지원과 지역 주민이 영상 제작 교육 후 제작자 또는 영상 교육자로 성장할 수 있도록 지원,,0054002,,,6540000,전북특별자치도,6540034,전북특별자치도 문화체육관광국 문화산업과,6540033,전북특별자치도 문화체육관광국,0014010,신청서,0049010,N,280,N,Y,0,0,6540000,전북특별자치도,,개별 통보,"52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
,0057001,http://www.jifa.or.kr,20250410 ~ 20250511,20250522,20250720,,0056001,041,1,016,004,0043001,,0,0,,2025-07-23 16:42:45,25,0013010,2025-07-23 17:20:06,복지문화,예술인지원,0055003,       ,,(사)전북독립영화협회,전북독립영화협회 홈페이지 공지사항 내 양식 제출 후 이메일 접수,0044002,지역 내 예비 연출자의 시나리오 및 연출 멘토링을 통해 영화를 제작하고자 하는 지역 영화인 육성 및 전북 지역 제작 활성화 도모,교육지원,0011009,영화영상활성화 지원사업(전북단편영화 제작스쿨 운영 지원),20250723005400211484,0042013,"청년들이 정해진 기간동안 시나리오, 연출, 촬영 및 조명, 음향에 대해 배우며 단편영화를 완성하는 제작스쿨 운영",,0054002,,,6540000,전북특별자치도,6540034,전북특별자치도 문화체육관광국 문화산업과,6540033,전북특별자치도 문화체육관광국,0014010,지원서,0049010,N,12,N,Y,0,0,6540000,전북특별자치도,,서류심사 후 면접을 통해 최종 수강생 발표(개인별 연락),"52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
,0057001,,20250306 ~ 20250311,20250101,20251231,,0056001,042,1,016,004,0043001,,0,0,,2025-07-23 10:23:42,17,0013010,2025-07-23 10:39:44,복지문화,문화활동,0055003,       ,,,,0044002,"공간구성(창작공간, 전시, 공연 등) 지원",보조금,0011009,소규모 문화예술공간 구축사업,20250723005400211480,0042001,"공간구성(창작공간, 전시, 공연 등) 지원",,0054002,,,6540000,전북특별자치도,6540033,전북특별자치도 문화체육관광국,6540000,전북특별자치도,0014010,,0049010,N,0,N,Y,0,0,6540034,문화산업과,,,"52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800"
